Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,304.299988,305.399994,303.140015,303.140015,284.978149,100
2018-03-19,304.750000,304.750000,302.549988,302.549988,284.423462,100
2018-03-20,305.600006,308.700012,304.660004,307.559998,289.133331,100
2018-03-21,310.079987,311.600006,309.089996,311.600006,292.931274,400
2018-03-22,306.959991,307.000000,304.640015,304.640015,286.388306,400
2018-03-23,302.649994,302.649994,296.649994,296.649994,278.876984,2800
2018-03-26,303.799988,306.609985,302.100006,306.609985,288.240265,300
2018-03-27,305.609985,305.609985,299.079987,299.079987,281.161346,900
2018-03-28,299.450012,302.970001,297.829987,302.970001,284.818329,11100
2018-03-29,307.000000,310.000000,307.000000,307.000000,288.606842,700
2018-04-02,310.000000,310.000000,297.000000,302.000000,283.906433,1000
2018-04-03,312.500000,315.100006,311.299988,313.269989,294.501190,300
2018-04-04,310.350006,318.079987,310.000000,318.079987,299.023010,600
2018-04-05,320.100006,323.920013,320.100006,321.450012,302.191101,1500
2018-04-06,324.190002,324.190002,319.700012,320.600006,301.392059,400
2018-04-09,323.500000,333.630005,322.000000,333.630005,313.641449,5600
2018-04-10,337.299988,339.549988,335.690002,339.549988,319.206726,1200
2018-04-11,343.679993,345.299988,343.549988,344.209991,323.587555,3700
2018-04-12,345.649994,346.809998,344.570007,346.589996,325.824921,3600
2018-04-13,349.049988,349.399994,345.899994,349.049988,328.137482,500
2018-04-16,350.649994,351.079987,347.649994,347.649994,326.821472,400
2018-04-17,348.450012,348.450012,344.179993,345.130005,327.656891,300
2018-04-18,348.799988,351.000000,348.549988,351.000000,333.229675,300
2018-04-19,344.649994,344.649994,340.670013,340.670013,323.422668,100
2018-04-20,340.000000,344.190002,340.000000,344.190002,326.764465,100
2018-04-23,343.100006,343.100006,341.450012,342.600006,325.254974,100
2018-04-24,343.649994,349.000000,340.720001,349.000000,331.330963,2200
2018-04-25,342.750000,342.750000,340.429993,342.000000,324.685303,100
2018-04-26,339.750000,342.100006,339.750000,342.100006,324.780304,300
2018-04-27,342.399994,345.140015,342.399994,343.500000,326.109375,300
2018-04-30,346.600006,349.899994,345.309998,349.850006,332.137939,200
2018-05-01,348.700012,348.700012,343.339996,346.649994,329.099884,600
2018-05-02,350.000000,352.019989,348.609985,352.019989,334.198029,1700
2018-05-03,350.950012,351.200012,348.339996,351.200012,333.419586,300
2018-05-04,348.649994,350.149994,346.700012,350.149994,332.422729,100
2018-05-07,346.850006,347.829987,344.600006,346.670013,329.118958,100
2018-05-08,343.329987,346.500000,343.329987,344.040009,326.622101,1200
2018-05-09,346.679993,346.679993,346.679993,346.679993,329.128387,100
2018-05-10,347.000000,349.420013,347.000000,349.420013,331.729706,400
2018-05-11,350.989990,350.989990,349.000000,350.929993,333.163208,400
2018-05-14,353.750000,353.750000,352.000000,352.000000,334.179047,300
2018-05-15,350.799988,354.500000,350.609985,354.500000,336.552490,200
2018-05-16,358.000000,364.850006,358.000000,364.750000,346.283569,300
2018-05-17,362.899994,364.399994,361.149994,364.399994,345.951294,100
2018-05-18,361.739990,364.350006,360.950012,364.350006,345.903809,700
2018-05-21,366.799988,368.000000,365.899994,368.000000,349.368988,100
2018-05-22,366.149994,366.149994,364.339996,366.100006,347.565216,500
2018-05-23,353.880005,356.750000,353.190002,356.000000,337.976563,300
2018-05-24,359.200012,360.279999,357.600006,360.279999,342.039886,600
2018-05-25,356.299988,357.950012,355.170013,355.170013,337.188568,200
2018-05-29,346.600006,354.559998,340.260010,344.809998,327.353027,300
2018-05-30,349.649994,352.480011,346.350006,351.549988,333.751831,3000
2018-05-31,350.600006,350.679993,345.369995,349.880005,332.166382,200
2018-06-01,352.700012,353.950012,350.709991,353.000000,335.128479,300
2018-06-04,355.040009,356.950012,354.500000,356.950012,338.878479,800
2018-06-05,360.049988,363.399994,360.049988,363.000000,344.622162,300
2018-06-06,362.399994,363.750000,359.200012,363.750000,345.334198,2400
2018-06-07,351.000000,351.350006,347.220001,347.220001,329.641083,2200
2018-06-08,353.410004,355.670013,351.750000,355.670013,337.663269,100
2018-06-11,356.250000,356.899994,355.049988,356.750000,338.688538,200
2018-06-12,353.850006,353.850006,346.820007,346.820007,329.261292,600
2018-06-13,349.700012,349.700012,345.779999,349.399994,331.710693,400
2018-06-14,353.779999,354.000000,351.369995,351.369995,333.580963,900
2018-06-15,351.549988,352.119995,349.649994,349.690002,331.986023,500
2018-06-18,344.750000,346.130005,342.100006,345.899994,328.387848,900
2018-06-19,335.000000,337.200012,333.869995,337.200012,320.128326,700
2018-06-20,333.850006,334.000000,330.299988,334.000000,317.090332,1600
2018-06-21,333.850006,333.850006,330.119995,330.119995,313.406769,100
2018-06-22,334.850006,335.769989,331.579987,333.540009,316.653687,300
2018-06-25,332.000000,332.000000,326.000000,326.000000,309.495361,700
2018-06-26,329.000000,330.600006,328.309998,330.350006,313.625153,20100
2018-06-27,331.500000,331.500000,325.390015,326.000000,309.495361,1200
2018-06-28,323.230011,325.980011,322.679993,325.980011,309.476379,400
2018-06-29,333.000000,336.589996,331.500000,331.500000,314.716888,100
2018-07-02,329.100006,329.100006,326.179993,328.200012,311.584045,400
2018-07-03,334.079987,334.079987,330.700012,330.700012,313.957397,200
2018-07-05,331.600006,332.299988,330.359985,331.209991,314.441528,300
2018-07-06,334.600006,338.399994,334.600006,338.359985,321.229645,100
2018-07-09,340.250000,341.700012,339.059998,341.700012,324.400543,600
2018-07-10,343.649994,344.170013,343.000000,343.519989,326.128387,1200
2018-07-11,337.950012,337.950012,332.869995,332.869995,316.017609,800
2018-07-12,335.549988,339.250000,335.549988,339.250000,322.074524,100
2018-07-13,343.239990,345.700012,343.239990,345.700012,328.198059,200
2018-07-16,344.899994,344.899994,341.850006,344.250000,326.821472,100
2018-07-17,341.899994,345.140015,341.899994,345.140015,327.666382,200
2018-07-18,345.899994,348.880005,345.760010,348.880005,331.217041,1800
2018-07-19,341.200012,344.549988,341.200012,344.329987,326.897369,600
2018-07-20,344.450012,347.850006,343.350006,347.850006,330.239166,200
2018-07-23,341.000000,343.440002,341.000000,341.649994,324.353088,400
2018-07-24,347.850006,367.540009,347.700012,358.910004,340.739227,1100
2018-07-25,359.549988,363.380005,357.250000,360.200012,341.963898,700
2018-07-26,355.850006,356.709991,353.519989,355.859985,337.843628,400
2018-07-27,350.899994,350.899994,348.500000,349.769989,332.061981,400
2018-07-30,351.950012,354.100006,348.500000,350.000000,332.280365,700
2018-07-31,349.399994,351.100006,348.720001,349.000000,331.330963,100
2018-08-01,348.899994,350.149994,347.239990,347.239990,329.660034,700
2018-08-02,342.200012,343.279999,339.899994,340.799988,323.546112,700
2018-08-03,340.799988,342.119995,340.799988,341.750000,324.447998,100
